Dallas-Fort Worth-Arlington, TX (block groups) — Degree Report
============================================================

1990  |  block_groups_in_cbsa_19100_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      23  480113001001
     2      23  48043901141013
     3      20  48011300004031
     4      17  48043901137021
     5      16  48011300140021
     6      16  48011300165011
     7      15  480113000991
     8      15  48011300166052
     9      15  480439010531
    10      14  48008500314012
    11      14  48043901060021
    12      14  48043901140011
    13      13  480085003193
    14      13  480113001151
    15      13  48011300185011
    16      13  48011300190122
    17      13  480439010201
    18      13  48043901216061
    19      13  480497015064
    20      12  48011300012021

2000  |  block_groups_in_cbsa_19100_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      20  481130004031
     2      20  484391141013
     3      17  480850314012
     4      16  481130166052
     5      16  481130140021
     6      16  481130100003
     7      16  484391050061
     8      15  481130190101
     9      15  481130099001
    10      14  481130185041
    11      14  481130012021
    12      14  481130115001
    13      14  484391012012
    14      14  484391060021
    15      13  481130165011
    16      13  481130167031
    17      13  484391216061
    18      13  484391053001
    19      13  484971506012
    20      13  480850319003

2010  |  block_groups_in_cbsa_19100_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      17  484391054053
     2      17  481210216252
     3      16  481130099002
     4      15  481130166052
     5      15  481130185061
     6      15  484391050061
     7      15  480850319002
     8      14  481130115004
     9      14  481130012021
    10      14  483671407062
    11      14  484391137032
    12      13  481130207001
    13      13  481130100001
    14      13  481130190401
    15      13  481210216323
    16      13  484399800001
    17      13  484391216061
    18      13  484391006022
    19      13  484391012011
    20      13  484391137051

2020  |  block_groups_in_cbsa_19100_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      18  484391012011
     2      17  480850305191
     3      16  481130185063
     4      16  484391137153
     5      16  484399800001
     6      15  481130140021
     7      15  484391050095
     8      14  482570506012
     9      14  484391130031
    10      14  480850305111
    11      14  481210216323
    12      13  482570502082
    13      13  481130100032
    14      13  481210201212
    15      12  480850303072
    16      12  483671407132
    17      12  481130099003
    18      12  481130211002
    19      12  481130167091
    20      12  484391140134
