New York-Newark-Jersey City, NY-NJ-PA (block groups) — Degree Report
============================================================

1990  |  block_groups_in_cbsa_35620_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      46  360061001431
     2      46  360081003839
     3      41  360005004359
     4      38  360005003971
     5      30  360047001771
     6      27  360061003159
     7      26  340035005349
     8      26  36008100641021
     9      25  360081001711
    10      25  36008100664984
    11      23  360005000621
    12      22  360005004091
    13      22  360061003139
    14      22  360081012839
    15      21  360047000181
    16      21  36006100243021
    17      20  360005002055
    18      19  36008101385012
    19      19  360085000151
    20      18  34002700459029

2000  |  block_groups_in_cbsa_35620_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      50  360810383002
     2      46  360610143001
     3      42  360850128033
     4      42  360050435009
     5      42  360050160002
     6      35  361031595076
     7      33  340297280001
     8      33  360610315009
     9      32  360594168003
    10      30  360470177001
    11      30  361031583041
    12      29  360595182012
    13      27  360610319009
    14      27  361032012001
    15      27  360050334009
    16      26  360610313009
    17      26  360050001009
    18      25  360810641021
    19      23  340170197003
    20      23  360470018001

2010  |  block_groups_in_cbsa_35620_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      91  360050001001
     2      69  361031699012
     3      61  360610143001
     4      55  340258005003
     5      46  360050435001
     6      36  360471034001
     7      35  360810383021
     8      34  340297101002
     9      30  360470213002
    10      29  360050334001
    11      26  361031595102
    12      23  360810641021
    13      22  360610243022
    14      22  360610151004
    15      22  360470622001
    16      22  360470294001
    17      21  360610238011
    18      21  360594169001
    19      19  340170114003
    20      19  360470168001

2020  |  block_groups_in_cbsa_35620_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1     101  340297370002
     2      72  360595179021
     3      62  360610143001
     4      40  360471026001
     5      37  360810383021
     6      35  360470018012
     7      30  360050435031
     8      29  360050334001
     9      29  360470177001
    10      26  361031595102
    11      26  360050001001
    12      25  360593001004
    13      24  340030130024
    14      23  360810641021
    15      23  360810964001
    16      23  360850244022
    17      22  360610311001
    18      22  360470616001
    19      20  360594169001
    20      19  340170073002
