New York-Newark-Jersey City, NY-NJ-PA (tracts) — Degree Report
============================================================

1980  |  tracts_in_cbsa_35620_1980_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      27  36006100157
     2      27  36008100383
     3      25  36000500279
     4      18  36006100211
     5      17  36000500058
     6      17  36008100134
     7      16  34003500534
     8      15  36004700508
     9      15  36008100171
    10      15  36008100539
    11      15  36004700032
    12      14  36000500205
    13      14  36000500334
    14      14  36008100561
    15      14  36006100315
    16      13  36000500149
    17      13  36004700500
    18      13  36008101283
    19      13  36004700320
    20      13  36006100311

1990  |  tracts_in_cbsa_35620_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      28  36008100383
     2      27  36006100143
     3      25  3600610024302
     4      24  36000500435
     5      19  34003500534
     6      19  3600810064102
     7      18  36000500062
     8      16  36006100313
     9      15  36004700032
    10      15  36006100315
    11      15  36008100171
    12      14  36000500332
    13      14  36008100561
    14      14  36004700177
    15      13  36004700320
    16      12  36006100319
    17      12  3600610031702
    18      12  36008700116
    19      12  34000300321
    20      12  36008100613

2000  |  tracts_in_cbsa_35620_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      36  36119007100
     2      29  36085012803
     3      28  36081038300
     4      27  36061014300
     5      25  36005043500
     6      23  36061031900
     7      22  36005000100
     8      21  36061031500
     9      20  36061031300
    10      20  36081089200
    11      19  36081064102
    12      19  36103159507
    13      18  36061031702
    14      18  36047003200
    15      17  34017012700
    16      17  34025809300
    17      17  36103190602
    18      17  36005005800
    19      16  34003002100
    20      16  36085022600

2010  |  tracts_in_cbsa_35620_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      54  36085007000
     2      41  36103169701
     3      27  36061014300
     4      25  36081038302
     5      24  36005043500
     6      22  34025800601
     7      21  36103159510
     8      20  36061024302
     9      20  36081066400
    10      19  36119007600
    11      17  34017012700
    12      16  34029728000
    13      16  34003002100
    14      16  34003013001
    15      16  36047062800
    16      16  36047079802
    17      16  36059416900
    18      16  36081064102
    19      15  36061023801
    20      15  36081017100

2020  |  tracts_in_cbsa_35620_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      48  1697.01
     2      29  610.02
     3      28  198
     4      27  143
     5      27  383.02
     6      25  8006.01
     7      25  76
     8      23  892.01
     9      21  7330.01
    10      21  1595.10
    11      18  311
    12      17  127
    13      17  435.03
    14      17  916.03
    15      16  21
    16      16  4169
    17      16  641.02
    18      16  317
    19      15  130.02
    20      15  334
