Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (block groups) — Degree Report
============================================================

1990  |  block_groups_in_cbsa_37980_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      29  420101003431
     2      22  420101000971
     3      20  42001701030029
     4      20  420091020789
     5      19  100003001389
     6      19  34000706091019
     7      19  420029030399
     8      19  420101002231
     9      18  100003001639
    10      17  420029030339
    11      17  420101001231
    12      17  420101001509
    13      16  340005070249
    14      16  340005070279
    15      16  340015050199
    16      16  420029030529
    17      15  42002903001079
    18      15  420029030109
    19      15  420029030629
    20      15  42009102058989

2000  |  block_groups_in_cbsa_37980_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      29  421010343001
     2      20  421010097001
     3      19  421010223001
     4      18  421010150009
     5      18  421010123001
     6      17  340076102001
     7      17  340155005009
     8      17  421010061001
     9      16  421010003003
    10      16  421010366001
    11      15  340076027011
    12      15  340057038043
    13      15  420171008072
    14      15  421010076001
    15      14  340057005051
    16      14  420171003021
    17      14  420171009003
    18      14  420912058019
    19      13  100030008001
    20      13  100030138009

2010  |  block_groups_in_cbsa_37980_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      37  421019800001
     2      36  100030168041
     3      30  421019802001
     4      24  421019801001
     5      22  421019809001
     6      18  340155005005
     7      18  340076105004
     8      17  340057042001
     9      17  421019808001
    10      17  421010383001
    11      15  421019807001
    12      14  340057029061
    13      14  420171003021
    14      14  420293001072
    15      14  420912058011
    16      14  421010173002
    17      13  340155007031
    18      13  340155002053
    19      13  340057038044
    20      13  420912043001

2020  |  block_groups_in_cbsa_37980_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      34  100030166082
     2      29  421019802001
     3      24  421019801001
     4      22  421010067003
     5      19  340076110004
     6      19  421019800021
     7      17  421019808001
     8      17  421010381001
     9      16  340057001021
    10      16  421010090003
    11      14  340076105001
    12      13  340057008002
    13      13  340076044001
    14      13  421010169023
    15      13  420454107001
    16      13  420171008076
    17      13  420293001014
    18      12  240150305033
    19      12  340155024006
    20      12  340057032013
