Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (tracts) — Degree Report
============================================================

1980  |  tracts_in_cbsa_37980_1980_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      19  42010100223
     2      15  42010100343
     3      14  42009102048
     4      12  4200170102101
     5      12  42010100097
     6      12  42001701027
     7      12  34000507024
     8      11  4200910205801
     9      11  4200170105801
    10      11  42002903039
    11      11  4200910206103
    12      11  42009102025
    13      11  34001505011
    14      11  34000706032
    15      11  34000507027
    16      10  4200450407902
    17      10  4200170100201
    18      10  4200910200301
    19      10  42004504003
    20      10  4200450407805

1990  |  tracts_in_cbsa_37980_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      19  42010100223
     2      15  42010100343
     3      14  42009102048
     4      13  42002903039
     5      13  42010100097
     6      13  34000507024
     7      12  4200170102101
     8      11  4200290300107
     9      11  4200290300198
    10      11  42001701027
    11      11  42009102025
    12      11  42010100150
    13      11  34000507027
    14      11  34000706032
    15      10  42009102054
    16      10  4200450407902
    17      10  4200910200301
    18      10  42009102068
    19      10  4200450407805
    20      10  42002903010

2000  |  tracts_in_cbsa_37980_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      19  42101022300
     2      16  42101034300
     3      13  34005702400
     4      13  42017102700
     5      12  10003011700
     6      12  34007602701
     7      12  42029303900
     8      12  42091202500
     9      12  42091204800
    10      11  24015030503
    11      11  34007603200
    12      11  34005702700
    13      11  42017100807
    14      11  42029300107
    15      11  42101009700
    16      11  42101036600
    17      10  34007610100
    18      10  34005700505
    19      10  34005703804
    20      10  42045407902

2010  |  tracts_in_cbsa_37980_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      25  42101980000
     2      18  42101980200
     3      16  42101980100
     4      16  42101980900
     5      13  42101038100
     6      13  42101036900
     7      12  10003011700
     8      12  24015030503
     9      12  42091202500
    10      12  42091204800
    11      11  34005702400
    12      11  34005702700
    13      11  34007603200
    14      11  34007610500
    15      11  42045410700
    16      11  42017102700
    17      11  42029300107
    18      11  42029303301
    19      11  42101036600
    20      11  42091204300

2020  |  tracts_in_cbsa_37980_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      16  9802
     2      16  9801
     3      15  9800.02
     4      13  381
     5      13  366
     6      12  117
     7      12  305.03
     8      12  2048
     9      12  2025
    10      11  7024
    11      11  6105
    12      11  1027
    13      11  3033.01
    14      11  382
    15      11  9800.01
    16      11  2043
    17      11  3001.07
    18      11  3040
    19      11  9808
    20      11  4107
