cbsa,year,cluster,catchment_threshold,tract_count,component_count,area_black_population,area_total_population,area_black_share,spread,center_node_id,center_gisjoin,center_geoid
16980,1980,austin,0.3,161,1,298687,511872,0.5835189266066516,4.4119965047022465,569,G17003102908,17003102908
16980,1990,austin,0.3,162,1,262376,458784,0.5718943991072052,4.085861511723634,1328,G17003102315,17003102315
16980,2000,austin,0.3,161,1,251717,456714,0.5511479832017412,4.265774659637609,921,G17031251800,17031251800
16980,2010,austin,0.3,116,1,198591,364698,0.5445354786700228,3.2473475635854596,521,G17031831400,17031831400
16980,2020,austin,0.3,109,1,170251,336304,0.5062413768495171,3.163117984622704,141,G17031831400,17031831400
16980,1980,hyde_park,0.3,359,1,904336,1502416,0.6019211722984845,6.282514463650679,781,G17003106912,17003106912
16980,1990,hyde_park,0.3,389,1,863030,1347071,0.6406715013536777,6.898462394123031,746,G17003106915,17003106915
16980,2000,hyde_park,0.3,391,1,917256,1336872,0.6861210347737106,6.123388672300862,1235,G17031510400,17031510400
16980,2010,hyde_park,0.3,371,1,847679,1249808,0.6782473787973833,6.162859997711398,661,G17031838800,17031838800
16980,2020,hyde_park,0.3,354,1,784912,1146741,0.6844719077803968,6.124982163605601,1288,G17031838800,17031838800
37980,1980,germantown_west,0.3,131,1,358231,634939,0.5641975055871509,3.6113122538250457,386,G42010100205,42010100205
37980,1990,germantown_west,0.3,136,1,349150,588402,0.5933868341711959,3.636789345553487,439,G42010100280,42010100280
37980,2000,germantown_west,0.3,138,1,349984,559458,0.6255768976402161,3.8394212306848314,1266,G42101028000,42101028000
37980,2010,germantown_west,0.3,138,1,342809,536913,0.6384814672023215,4.236516544198081,1230,G42101028300,42101028300
37980,2020,germantown_west,0.3,132,1,318904,521781,0.6111836191812273,4.3556901136392145,1091,G42101028300,42101028300
37980,1980,west_philadelphia,0.3,96,1,218216,431250,0.506008115942029,2.6928227077757816,143,G42010100085,42010100085
37980,1990,west_philadelphia,0.3,96,1,224436,407317,0.5510106379061026,2.7822274501416886,305,G42010100081,42010100081
37980,2000,west_philadelphia,0.3,109,1,270934,435699,0.6218375529895639,3.2969210213557547,1172,G42101008200,42101008200
37980,2010,west_philadelphia,0.3,112,1,284022,423099,0.6712896981557508,3.2691305603087084,1106,G42101008200,42101008200
37980,2020,west_philadelphia,0.3,110,1,274880,414079,0.6638346788897771,3.2339238940628636,708,G42101008200,42101008200
