area_key,within_xx,within_xy,within_yy,within_total,observed_between_total,between_xx_mean,between_xy_mean,between_yy_mean,between_total_mean,between_total_sd,half_edge_rebuilt_sd,black_count_mean,black_count_var,black_count_cv,white_count_cv,total_pop_cv,black_share_mean,black_share_cv,black_count_second_moment,half_edge_spread,half_edge_lam_10_angle_1,half_edge_lam_1_angle_1,half_edge_lam_lim_angle_1,moran_spread,year,cbsa,filename,total_nodes,total_edges,total_population,total_black,total_white,total_x,total_y,dissimilarity,half_edge_lam_0_angle_1,moran,edge_density,black_to_white_ratio,he_moran_abs_gap,he_to_moran_spread_ratio,spread_similarity,within_total_share_perm_mean,within_total_share_observed,within_xx_share_perm_mean,within_xy_share_perm_mean,within_yy_share_perm_mean,between_total_cv,similarity_tail
1980 CBSA 10740,3014872.0,30857501.0,940888927.0,1005618801.0,4243075538.0,4416963.168,119799737.84,3154768863.372,3398785302.22,169141787.02086863,0.0016598335168730917,93.37864077669903,20551.03138844377,1.5427224152402,0.7113483437904047,0.5269864552900443,0.019286390555667263,1.3524235950823968,29270.601941747573,0.0020141806649472465,0.0007019959981911159,0.0016598335168730917,0.0,0.02343683821574736,1980,10740,study_areas/1980/tracts_in_cbsa_10740_1980_march_2020_vintage_connected.json,103,260,454499,9618,254087,0.0211617627321512,0.5590485347602525,0.4022609488421812,0.5114533150878033,0.354759117700935,0.04949552636588616,0.03785317627426826,0.02142265755080011,0.08594080167323534,0.08594080167323534,0.22832119338568546,0.1915940872242894,0.40566992295273685,0.2048192389399296,0.22972840387490992,0.049765363793467486,middle sampled areas
1980 CBSA 17900,334969688.0,282090027.0,1422490788.0,2321640530.0,10874746160.0,757966090.352,1852079349.92,4452788183.516,8914912973.708,348803217.1291162,0.013133893326746365,1269.1739130434783,2030172.448015123,1.128804014759669,0.7948041156247491,0.5905667319841409,0.3174535410075983,0.9647930599917367,3640974.8695652173,0.01624169669438082,0.0050122465574606815,0.013133893326746365,0.0,0.03395040096641948,1980,17900,study_areas/1980/tracts_in_cbsa_17900_1980_march_2020_vintage_connected.json,92,236,410088,116764,283800,0.2847291313084021,0.6920465851231931,0.5739440537787273,0.6045816656587795,0.490185620096958,0.05637840420449116,0.411430584918957,0.017708704272038658,0.47839484165284435,0.47839484165284435,0.20661500247686015,0.17593001664306337,0.30648615832221104,0.13217790024103332,0.2421145948807524,0.03912581291122101,highest similarity
1980 CBSA 19780,12976416.0,32189625.0,1765597754.0,1842953420.0,8010061104.0,8007551.78,241892999.61,6854200269.02,7345993820.02,251541379.76614213,0.0059272463383295585,123.10714285714286,100705.48852040814,2.5893504923290704,0.5362191939318572,0.49808795819265544,0.04443479534427459,2.5525876022553935,115860.85714285714,0.006422883631671803,0.0038641453075770604,0.0059272463383295585,0.0,0.025603451962002668,1980,19780,study_areas/1980/tracts_in_cbsa_19780_1980_march_2020_vintage_connected.json,112,281,416583,13788,392292,0.0330978460474863,0.9416898913301792,0.7199284387696605,0.5637083687580406,0.4536769606114166,0.04520592020592021,0.035147288244470956,0.019180568330330865,0.25086006532259075,0.25086006532259075,0.20056197645509483,0.18704462634363614,0.6183966796006966,0.1174449677202396,0.20483052494789336,0.03424198085773196,middle sampled areas
1980 CBSA 20020,54321963.0,45668301.0,308794201.0,454452766.0,1757838518.0,81182583.6,296391272.676,1016488157.516,1690453286.468,94174934.5314542,0.01991299003247439,761.9090909090909,1065614.6280991733,1.3758747864555692,0.5866047700664694,0.4356223624902968,0.22467943547504413,1.0743073059208739,1646120.0909090908,0.024510168165072278,0.007911500129464321,0.01991299003247439,0.0,0.05289302400787382,1980,20020,study_areas/1980/tracts_in_cbsa_20020_1980_march_2020_vintage_connected.json,33,73,114187,25143,87411,0.220191440356608,0.7655074570660408,0.5613445855127213,0.5522081894002318,0.2560198438966526,0.13825757575757575,0.2876411435631671,0.028382855842801546,0.4633913190787431,0.4633913190787431,0.21187537117399227,0.20542175855717923,0.4008866444928572,0.13350978751805723,0.23300257414259692,0.055709871006386386,highest similarity
1980 CBSA 22500,128373237.0,78570301.0,232720122.0,518233961.0,2138205794.0,273980909.18,482052535.096,793299199.932,2031385179.304,105515441.66495806,0.020339635650365572,1568.9615384615386,2475791.883136094,1.0227310460838968,0.5602427571067099,0.3747505864158652,0.34223173235748716,0.8464623505066603,4937432.192307692,0.02555991473186446,0.007569557318602223,0.020339635650365572,0.0,0.059401325697469205,1980,22500,study_areas/1980/tracts_in_cbsa_22500_1980_march_2020_vintage_connected.json,26,58,110163,40793,68176,0.3702967421003422,0.6188647731089386,0.5197589193125655,0.5488907204625891,0.1974109466465292,0.17846153846153845,0.5983483923961511,0.033841410965604744,0.4302919914959649,0.4302919914959649,0.2032593624701959,0.19508590775475726,0.3190553352532623,0.14014823503647963,0.22681845948260188,0.05194260681822544,middle sampled areas
1980 CBSA 23060,44074199.0,46013220.0,1028028861.0,1164129500.0,5752242086.0,41159751.444,439628273.788,4293548485.884,5213964784.904,154760564.8991159,0.011948665289938697,318.6951219512195,435923.65095181443,2.0844631254901365,0.49400269156179116,0.39721342238436613,0.09825005297881215,2.068118878638994,537490.231707317,0.01373589332239643,0.006220842147889578,0.011948665289938697,0.0,0.030455026090831974,1980,23060,study_areas/1980/tracts_in_cbsa_23060_1980_march_2020_vintage_connected.json,82,214,294335,26133,260623,0.0887865867124195,0.8854638422205989,0.7404412821524651,0.6518337070211182,0.6309339006421218,0.0644384221619994,0.1002712730649252,0.016719132768435542,0.45102221490236755,0.45102221490236755,0.18251995784310077,0.168315060219785,0.5170967527658761,0.09474729937324183,0.1931812306743888,0.02968193520355074,middle sampled areas
1980 CBSA 25420,53703191.0,87151685.0,2560882489.0,2788889050.0,13776353744.0,58616050.792,751320242.44,9045122863.856,10606379399.528,635159216.521036,0.009485708321933845,363.2717391304348,451763.980505671,1.860361764988408,0.6668987926990892,0.5831580349753159,0.10785933013251645,1.918078596098831,583730.3369565217,0.010284786610864296,0.0057659047254465315,0.009485708321933845,0.0,0.029723480128014533,1980,25420,study_areas/1980/tracts_in_cbsa_25420_1980_march_2020_vintage_connected.json,92,235,446576,33421,404501,0.0748383253914227,0.9057831141843716,0.7389930814550235,0.5945397126442398,0.4455125991600654,0.05613951266125179,0.08262278708828903,0.01943869351715024,0.34601555963733976,0.34601555963733976,0.20819956393619496,0.1683578734511605,0.4781299280799191,0.1039410887208701,0.22065149990386823,0.05988464042209367,middle sampled areas
1980 CBSA 27100,19915418.0,23519209.0,766352203.0,833306039.0,3678584070.0,15525082.628,240631829.422,3009115783.144,3505904524.616,205837404.1247949,0.015336086603820683,335.3125,509922.33984375,2.1636968761943463,0.5519770884193412,0.46047352628894317,0.09007032425354614,2.056319720574478,622356.8125,0.01646090834406323,0.00992379547849086,0.015336086603820683,0.0,0.041541969348533214,1980,27100,study_areas/1980/tracts_in_cbsa_27100_1980_march_2020_vintage_connected.json,32,82,151495,10730,137603,0.0708274200468662,0.9083006039803294,0.7396399988272108,0.5545793937997632,0.2141304549863348,0.16532258064516128,0.07797795106211347,0.025081061004469985,0.3962476647642233,0.3962476647642233,0.19204093158954239,0.18469112032178708,0.5619395224983277,0.08903697346980101,0.20298204244149842,0.05871163994328686,middle sampled areas
1980 CBSA 27500,4542114.0,17324592.0,635679969.0,674871267.0,3368153192.0,2593136.808,92099149.724,2612685470.508,2799476906.764,180130562.25770986,0.006850637097450697,141.21212121212122,117698.95500459135,2.4671542749794533,0.4423528718105819,0.42952180674169754,0.03555507531560849,2.0853983545061445,137639.81818181818,0.007143004810173254,0.004479388783015688,0.006850637097450697,0.0,0.043397956580522666,1980,27500,study_areas/1980/tracts_in_cbsa_27500_1980_march_2020_vintage_connected.json,33,81,139420,4660,132785,0.0334241859130684,0.9524099842203414,0.6932252046412114,0.5350438303726359,0.4468301153617718,0.1534090909090909,0.03509432541326204,0.03625495177034941,0.16459311389281145,0.16459311389281145,0.1942439943400565,0.16692238047130745,0.6365738391294401,0.1583257136618294,0.19569225841051943,0.06434436441411057,middle sampled areas
1980 CBSA 28740,3404332.0,34071321.0,708997234.0,780544208.0,3101629060.0,4602490.692,113963422.966,2660142084.276,2892671420.9,191578999.3488212,0.00213173984985002,156.7,60553.409999999996,1.5903693532147583,0.5941499897265182,0.638129269382171,0.03326728433329438,1.2679358552522018,85108.3,0.0027882585693390924,0.0008282267061920021,0.00213173984985002,0.0,0.035101789386107286,1980,28740,study_areas/1980/tracts_in_cbsa_28740_1980_march_2020_vintage_connected.json,40,102,158158,6268,145252,0.0396312548211282,0.918398057638564,0.4055052899196592,0.5043360426651311,0.1766935280666509,0.13076923076923078,0.043152589981549305,0.032313530816768195,0.07943351658427532,0.07943351658427532,0.21249615782391348,0.20105857057794774,0.4251788919219394,0.2301575973801485,0.21043868092780332,0.0662290912008302,middle sampled areas
