year,tract_id,cbsa_code,cbsa_title,state,county,total_population,overlap_pct,overlap_area_sq_km,rep_distance_to_cbsa_m,diagnostic_bucket,map_path
1990,G34002907139,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,Ocean County,5411,83.35001348822946,3.9541963977231855,32.49405053345704,other_high_overlap,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/1990_G34002907139_35620_75m_extra_map.png
1970,G42010100050,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,Philadelphia County,1757,68.2718252131863,5.365953216645592,58.92615107420811,other_high_overlap,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/1970_G42010100050_37980_75m_extra_map.png
1980,G42010100050,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,Philadelphia County,2886,68.2718252131863,5.365953216645592,58.92615107420811,other_high_overlap,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/1980_G42010100050_37980_75m_extra_map.png
1990,G42010100050,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Philadelphia County,2229,68.2718252131863,5.365953216645592,58.92615107420811,other_high_overlap,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/1990_G42010100050_37980_75m_extra_map.png
2000,G3600850001500,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York,850,682,58.28247808360043,1.4939181271592,64.67899056449909,split_tract_ambiguous_35_to_65_pct,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/2000_G3600850001500_35620_75m_extra_map.png
1990,G36008500015,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,Richmond County,142,58.276650047057835,1.4939169174928262,64.67899377865126,split_tract_ambiguous_35_to_65_pct,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/1990_G36008500015_35620_75m_extra_map.png
1970,G36008500015,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York,Richmond County,257,58.23469426546248,1.4913417349629223,64.67899377865126,split_tract_ambiguous_35_to_65_pct,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/1970_G36008500015_35620_75m_extra_map.png
1980,G36008500015,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York,Richmond County,188,58.23469426546248,1.4913417349629223,64.67899377865126,split_tract_ambiguous_35_to_65_pct,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/1980_G36008500015_35620_75m_extra_map.png
1980,G34002900224,35620,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey,Ocean County,7228,56.32612425427618,5.796603351414778,6.344212823761066,split_tract_ambiguous_35_to_65_pct,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/1980_G34002900224_35620_75m_extra_map.png
1990,G34002907224,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,Ocean County,9175,56.32612425427618,5.796603351414778,6.344212823761066,split_tract_ambiguous_35_to_65_pct,points_vs_intersection_exploration/figures/high_overlap_75m_extra_maps/1990_G34002907224_35620_75m_extra_map.png
