year,stem,cbsa_code,cbsa_title,vintage,tract_id_column,tract_id,source_path,definition_path,state,county,tract_name,total_population,tract_area_sq_m,tract_area_sq_km,cbsa_overlap_area_sq_m,cbsa_overlap_area_sq_km,cbsa_overlap_pct_of_tract,positive_area_overlap,representative_point_within_cbsa,geometry_type,is_valid,validity_reason,rep_within_own_geometry,rep_covered_by_own_geometry,centroid_within_cbsa,centroid_distance_to_cbsa_m,largest_component_rep_within_cbsa,largest_component_rep_covered_by_cbsa,largest_component_rep_distance_to_cbsa_m,rep_distance_to_cbsa_m,rep_distance_to_cbsa_boundary_m,tract_nonoverlap_area_sq_km,tract_nonoverlap_pct,overlap_geometry_type,nonoverlap_geometry_type,component_count,largest_component_index,largest_component_area_pct,rep_component_index,rep_component_rank_by_area,rep_component_area_pct,rep_on_largest_component,diagnostic_bucket
1980,421017_15180_march_2020,15180,"Brownsville-Harlingen, TX",march_2020,GISJOIN,G4800610012302,old_cbsas/1980/421017_15180_march_2020_cbsa_tracts.shp,cbsas/defs/421017_15180_march_2020.shp,Texas,Cameron County,State: 48 County: 061 Tract: 123.02,889,23817868.47707572,23.817868477075724,23773420.345032174,23.77342034503218,99.81338325011608,True,False,MultiPolygon,True,Valid Geometry,True,True,False,159.8421425265307,True,True,0.0,7.987160945846248,7.987160945846248,0.044448132043593123,0.18661674988412028,MultiPolygon,MultiPolygon,39,36,91.4623708562113,37,15,0.19336762279346917,False,largest_component_point_would_include
1990,1008654_23420_march_2020,23420,"Fresno, CA",march_2020,GISJOIN,G0600390001298,old_cbsas/1990/1008654_23420_march_2020_cbsa_tracts.shp,cbsas/defs/1008654_23420_march_2020.shp,06,Madera County,Tract 12.98,0,79170.21090780899,0.0791702109078089,40285.416458588086,0.040285416458588,50.884563772981586,True,False,MultiPolygon,True,Valid Geometry,True,True,False,18753.933102775583,True,True,0.0,38057.90854370726,38057.90854370726,0.0388847944492213,49.115436227018925,Polygon,MultiPolygon,2,0,50.88665970705119,1,2,49.11334029294881,False,largest_component_point_would_include
1990,418046_41540_march_2020,41540,"Salisbury, MD-DE",march_2020,GISJOIN,G24004709904,old_cbsas/1990/418046_41540_march_2020_cbsa_tracts.shp,cbsas/defs/418046_41540_march_2020.shp,24,Worcester County,BNA 9904,947,2260523.029726495,2.260523029726495,2212241.147603412,2.2122411476034123,97.86412783731186,True,False,MultiPolygon,True,Valid Geometry,True,True,True,0.0,False,False,3.2336554302751828,3.2336554302751828,3.2336554302751828,0.04828188212307716,2.1358721626878925,MultiPolygon,MultiPolygon,6,5,97.24226635881124,5,1,97.24226635881124,True,near_boundary_high_overlap_not_largest_fix
1970,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G36006100289,old_cbsas/1970/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,New York,New York County,Tract  289,4805,292124.97140384914,0.2921249714038491,274211.98659352434,0.2742119865935243,93.86804054297674,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,29.200792156823425,29.200792156823425,29.200792156823425,0.017912984810316546,6.131959457020427,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,near_boundary_high_overlap_not_largest_fix
1970,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G36008100972,old_cbsas/1970/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,New York,Queens County,Tract  972,9613,2481609.6009435225,2.4816096009435227,2192692.938286409,2.1926929382864087,88.35769080893039,True,False,Polygon,True,Valid Geometry,True,True,False,90.29373653126808,False,False,74.64016628454792,74.64016628454792,74.64016628454792,0.28891666265711263,11.642309191069572,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1980,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G36008100972,old_cbsas/1980/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,New York,Queens County,State: 36 County: 081 Tract: 972,13601,2481609.6009435225,2.4816096009435227,2192692.938286409,2.1926929382864087,88.35769080893039,True,False,Polygon,True,Valid Geometry,True,True,False,90.29373653126808,False,False,74.64016628454792,74.64016628454792,74.64016628454792,0.28891666265711263,11.642309191069572,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1990,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G36008100972,old_cbsas/1990/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,36,Queens County,Tract 972,14682,2481609.6009435225,2.4816096009435227,2192692.938286409,2.1926929382864087,88.35769080893039,True,False,Polygon,True,Valid Geometry,True,True,False,90.29373653126808,False,False,74.64016628454792,74.64016628454792,74.64016628454792,0.28891666265711263,11.642309191069572,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1990,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G34002907139,old_cbsas/1990/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,34,Ocean County,Tract 7139,5411,4744086.092177525,4.744086092177525,3954196.397723186,3.9541963977231855,83.35001348822946,True,False,Polygon,True,Valid Geometry,True,True,False,25.79065010320405,False,False,32.49405053345704,32.49405053345704,32.49405053345704,0.7898896944543451,16.649986511770646,GeometryCollection,Polygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1980,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G34002900139,old_cbsas/1980/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,New Jersey,Ocean County,State: 34 County: 029 Tract: 139,4564,4764127.415615562,4.764127415615563,3970657.273626953,3.9706572736269528,83.3449009069778,True,False,Polygon,True,Valid Geometry,True,True,False,28.831152995625835,False,False,32.49405053345704,32.49405053345704,32.49405053345704,0.7934701419886123,16.65509909302226,GeometryCollection,Polygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1970,6245051_37980_march_2020,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",march_2020,GISJOIN,G42010100050,old_cbsas/1970/6245051_37980_march_2020_cbsa_tracts.shp,cbsas/defs/6245051_37980_march_2020.shp,Pennsylvania,Philadelphia County,Tract   50,1757,7859689.117567622,7.859689117567622,5365953.216645592,5.365953216645592,68.2718252131863,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,58.92615107420811,58.92615107420811,58.92615107420811,2.493735900922074,31.728174786814254,Polygon,Polygon,1,0,100.00000000000001,0,1,100.00000000000001,True,other_high_overlap
1980,6245051_37980_march_2020,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",march_2020,GISJOIN,G42010100050,old_cbsas/1980/6245051_37980_march_2020_cbsa_tracts.shp,cbsas/defs/6245051_37980_march_2020.shp,Pennsylvania,Philadelphia County,State: 42 County: 101 Tract: 50,2886,7859689.117567622,7.859689117567622,5365953.216645592,5.365953216645592,68.2718252131863,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,58.92615107420811,58.92615107420811,58.92615107420811,2.493735900922074,31.728174786814254,Polygon,Polygon,1,0,100.00000000000001,0,1,100.00000000000001,True,other_high_overlap
1990,6245051_37980_march_2020,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",march_2020,GISJOIN,G42010100050,old_cbsas/1990/6245051_37980_march_2020_cbsa_tracts.shp,cbsas/defs/6245051_37980_march_2020.shp,42,Philadelphia County,Tract 50,2229,7859689.117567622,7.859689117567622,5365953.216645592,5.365953216645592,68.2718252131863,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,58.92615107420811,58.92615107420811,58.92615107420811,2.493735900922074,31.728174786814254,Polygon,Polygon,1,0,100.00000000000001,0,1,100.00000000000001,True,other_high_overlap
1990,270861_42100_march_2020,42100,"Santa Cruz-Watsonville, CA",march_2020,GISJOIN,G0600850513298,old_cbsas/1990/270861_42100_march_2020_cbsa_tracts.shp,cbsas/defs/270861_42100_march_2020.shp,06,Santa Clara County,Tract 5132.98,49,197044.80493741485,0.1970448049374148,66298.566389035,0.066298566389035,33.646442193739986,True,False,Polygon,True,Valid Geometry,True,True,False,57.08008394158116,False,False,41.05048057367705,41.05048057367705,41.05048057367705,0.13074623854837997,66.35355780626007,MultiPolygon,Polygon,1,0,100.0,0,1,100.0,True,other_high_overlap
